nummer;id;version;resolution;seed;profession;left_right;race1;gender1;large1;position1;machtposition1;;race2;gender2;large2;position2;machtposition2
28;v1_5_doctor_00028;1_5;512x512;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
30;v1_5_doctor_00030;1_5;512x512;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
32;v1_5_doctor_00032;1_5;512x512;3.10403E+18;doctor;left;2;2;2;2;1;;;;;;
33;v1_5_doctor_00033;1_5;512x512;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
35;v1_5_doctor_00035;1_5;512x512;3.10403E+18;doctor;left;1;3;1;3;1;;;;;;
36;v1_5_doctor_00036;1_5;512x512;3.10403E+18;doctor;left;1;2;2;2;2;;;;;;
37;v1_5_doctor_00037;1_5;512x512;3.10403E+18;doctor;left;2;1;2;1;2;;;;;;
38;v1_5_doctor_00038;1_5;512x512;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
39;v1_5_doctor_00039;1_5;512x512;3.10403E+18;doctor;left;2;2;2;3;3;;;;;;
40;v1_5_doctor_00040;1_5;512x512;3.10403E+18;doctor;left;1;1;1;1;3;;;;;;
41;v1_5_doctor_00041;1_5;512x512;3.10403E+18;doctor;left;2;1;1;1;2;;;;;;
45;v1_5_doctor_00045;1_5;512x512;3.10403E+18;doctor;left;2;2;1;3;1;;;;;;
47;v1_5_doctor_00047;1_5;512x512;3.10403E+18;doctor;left;2;2;2;3;3;;;;;;
48;v1_5_doctor_00048;1_5;512x512;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
51;v1_5_doctor_00051;1_5;512x512;3.10403E+18;doctor;left;1;1;1;1;3;;;;;;
52;v1_5_doctor_00052;1_5;512x512;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
53;v1_5_doctor_00053;1_5;512x512;3.10403E+18;doctor;left;1;2;3;2;2;;;;;;
56;v1_5_doctor_00056;1_5;512x512;3.10403E+18;doctor;left;2;2;1;1;2;;;;;;
57;v1_5_doctor_00057;1_5;512x512;3.10403E+18;doctor;left;2;2;2;1;3;;;;;;
60;v1_5_doctor_00060;1_5;512x512;3.10403E+18;doctor;left;2;2;3;3;1;;;;;;
62;v1_5_doctor_00062;1_5;512x512;3.10403E+18;doctor;left;2;1;2;3;1;;;;;;
65;v1_5_doctor_00065;1_5;512x512;3.10403E+18;doctor;left;2;2;1;1;3;;;;;;
68;v1_5_doctor_00068;1_5;512x512;3.10403E+18;doctor;left;2;2;2;1;2;;;;;;
69;v1_5_doctor_00069;1_5;512x512;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
71;v1_5_teacher_00001;1_5;512x512;3.10403E+18;teacher;left;1;2;2;3;3;;;;;;
72;v1_5_teacher_00002;1_5;512x512;3.10403E+18;teacher;left;2;1;1;2;2;;;;;;
73;v1_5_teacher_00003;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;1;;;;;;
74;v1_5_teacher_00004;1_5;512x512;3.10403E+18;teacher;left;2;1;1;1;2;;;;;;
75;v1_5_teacher_00005;1_5;512x512;3.10403E+18;teacher;left;1;1;3;2;2;;;;;;
76;v1_5_teacher_00006;1_5;512x512;3.10403E+18;teacher;left;1;2;2;1;3;;;;;;
77;v1_5_teacher_00007;1_5;512x512;3.10403E+18;teacher;left;1;2;3;3;3;;;;;;
78;v1_5_teacher_00008;1_5;512x512;3.10403E+18;teacher;left;2;1;1;3;3;;;;;;
79;v1_5_teacher_00009;1_5;512x512;3.10403E+18;teacher;left;1;1;3;2;1;;;;;;
80;v1_5_teacher_00010;1_5;512x512;3.10403E+18;teacher;left;2;1;1;2;1;;;;;;
82;v1_5_teacher_00012;1_5;512x512;3.10403E+18;teacher;left;2;1;1;3;3;;;;;;
83;v1_5_teacher_00013;1_5;512x512;3.10403E+18;teacher;left;1;1;2;2;2;;;;;;
84;v1_5_teacher_00014;1_5;512x512;3.10403E+18;teacher;left;1;1;2;2;2;;;;;;
86;v1_5_teacher_00016;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;1;;;;;;
87;v1_5_teacher_00017;1_5;512x512;3.10403E+18;teacher;left;1;1;2;1;2;;;;;;
88;v1_5_teacher_00018;1_5;512x512;3.10403E+18;teacher;left;2;1;2;1;3;;;;;;
90;v1_5_teacher_00020;1_5;512x512;3.10403E+18;teacher;left;1;2;2;3;2;;;;;;
91;v1_5_teacher_00021;1_5;512x512;3.10403E+18;teacher;left;1;1;2;3;3;;;;;;
92;v1_5_teacher_00022;1_5;512x512;3.10403E+18;teacher;left;2;2;2;3;3;;;;;;
95;v1_5_teacher_00025;1_5;512x512;3.10403E+18;teacher;left;1;1;3;3;3;;;;;;
98;v1_5_teacher_00028;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;1;;;;;;
102;v1_5_teacher_00032;1_5;512x512;3.10403E+18;teacher;left;1;2;2;2;1;;;;;;
103;v1_5_teacher_00033;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;1;;;;;;
105;v1_5_teacher_00035;1_5;512x512;3.10403E+18;teacher;left;2;1;1;1;2;;;;;;
106;v1_5_teacher_00036;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;3;;;;;;
107;v1_5_teacher_00037;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;2;;;;;;
108;v1_5_teacher_00038;1_5;512x512;3.10403E+18;teacher;left;1;2;2;3;2;;;;;;
109;v1_5_teacher_00039;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;3;;;;;;
110;v1_5_teacher_00040;1_5;512x512;3.10403E+18;teacher;left;1;1;3;3;3;;;;;;
111;v1_5_teacher_00041;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;1;;;;;;
115;v1_5_teacher_00045;1_5;512x512;3.10403E+18;teacher;left;2;1;1;2;1;;;;;;
116;v1_5_teacher_00046;1_5;512x512;3.10403E+18;teacher;left;1;2;1;1;2;;;;;;
117;v1_5_teacher_00047;1_5;512x512;3.10403E+18;teacher;left;2;1;2;1;1;;;;;;
118;v1_5_teacher_00048;1_5;512x512;3.10403E+18;teacher;left;2;1;2;1;1;;;;;;
119;v1_5_teacher_00049;1_5;512x512;3.10403E+18;teacher;left;2;1;1;3;2;;;;;;
120;v1_5_teacher_00050;1_5;512x512;3.10403E+18;teacher;left;1;1;1;1;3;;;;;;
121;v1_5_teacher_00051;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;2;;;;;;
123;v1_5_teacher_00053;1_5;512x512;3.10403E+18;teacher;left;1;2;2;2;3;;;;;;
125;v1_5_teacher_00055;1_5;512x512;3.10403E+18;teacher;left;1;2;3;3;3;;;;;;
126;v1_5_teacher_00056;1_5;512x512;3.10403E+18;teacher;left;2;2;1;1;1;;;;;;
129;v1_5_teacher_00059;1_5;512x512;3.10403E+18;teacher;left;1;2;2;3;3;;;;;;
130;v1_5_teacher_00060;1_5;512x512;3.10403E+18;teacher;left;1;2;3;3;3;;;;;;
131;v1_5_teacher_00061;1_5;512x512;3.10403E+18;teacher;left;2;2;2;1;1;;;;;;
132;v1_5_teacher_00062;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;1;;;;;;
134;v1_5_teacher_00064;1_5;512x512;3.10403E+18;teacher;left;2;1;1;2;2;;;;;;
136;v1_5_teacher_00066;1_5;512x512;3.10403E+18;teacher;left;1;1;1;3;1;;;;;;
141;v2_0_doctor_00001;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
143;v2_0_doctor_00003;2_0;768x768;3.10403E+18;doctor;left;2;1;1;3;3;;;;;;
145;v2_0_doctor_00005;2_0;768x768;3.10403E+18;doctor;left;2;2;2;1;3;;;;;;
146;v2_0_doctor_00006;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
148;v2_0_doctor_00008;2_0;768x768;3.10403E+18;doctor;left;1;1;3;3;3;;;;;;
150;v2_0_doctor_00010;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
151;v2_0_doctor_00011;2_0;768x768;3.10403E+18;doctor;left;2;2;2;3;1;;;;;;
152;v2_0_doctor_00012;2_0;768x768;3.10403E+18;doctor;left;1;2;3;1;3;;;;;;
153;v2_0_doctor_00013;2_0;768x768;3.10403E+18;doctor;left;1;1;1;2;2;;;;;;
154;v2_0_doctor_00014;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
155;v2_0_doctor_00015;2_0;768x768;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
156;v2_0_doctor_00016;2_0;768x768;3.10403E+18;doctor;left;1;2;1;3;1;;;;;;
158;v2_0_doctor_00018;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;2;;;;;;
159;v2_0_doctor_00019;2_0;768x768;3.10403E+18;doctor;left;1;1;1;1;2;;;;;;
160;v2_0_doctor_00020;2_0;768x768;3.10403E+18;doctor;left;2;1;1;3;2;;;;;;
161;v2_0_doctor_00021;2_0;768x768;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
162;v2_0_doctor_00022;2_0;768x768;3.10403E+18;doctor;left;2;2;3;3;3;;;;;;
163;v2_0_doctor_00023;2_0;768x768;3.10403E+18;doctor;left;2;1;2;3;3;;;;;;
164;v2_0_doctor_00024;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
165;v2_0_doctor_00025;2_0;768x768;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
166;v2_0_doctor_00026;2_0;768x768;3.10403E+18;doctor;left;1;2;3;3;1;;;;;;
167;v2_0_doctor_00027;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
169;v2_0_doctor_00029;2_0;768x768;3.10403E+18;doctor;left;1;2;1;3;1;;;;;;
170;v2_0_doctor_00030;2_0;768x768;3.10403E+18;doctor;left;1;2;3;1;1;;;;;;
171;v2_0_doctor_00031;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;2;;;;;;
173;v2_0_doctor_00033;2_0;768x768;3.10403E+18;doctor;left;1;2;3;1;3;;;;;;
174;v2_0_doctor_00034;2_0;768x768;3.10403E+18;doctor;left;2;1;2;3;3;;;;;;
175;v2_0_doctor_00035;2_0;768x768;3.10403E+18;doctor;left;1;2;1;3;2;;;;;;
177;v2_0_doctor_00037;2_0;768x768;3.10403E+18;doctor;left;3;2;1;1;1;;;;;;
178;v2_0_doctor_00038;2_0;768x768;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
180;v2_0_doctor_00040;2_0;768x768;3.10403E+18;doctor;left;2;2;2;3;1;;;;;;
181;v2_0_doctor_00041;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
182;v2_0_doctor_00042;2_0;768x768;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
183;v2_0_doctor_00043;2_0;768x768;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
184;v2_0_doctor_00044;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;2;;;;;;
185;v2_0_doctor_00045;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
187;v2_0_doctor_00047;2_0;768x768;3.10403E+18;doctor;left;1;2;2;2;2;;;;;;
189;v2_0_doctor_00049;2_0;768x768;3.10403E+18;doctor;left;1;1;1;1;1;;;;;;
191;v2_0_doctor_00051;2_0;768x768;3.10403E+18;doctor;left;2;1;2;2;3;;;;;;
192;v2_0_doctor_00052;2_0;768x768;3.10403E+18;doctor;left;2;2;2;2;2;;;;;;
193;v2_0_doctor_00053;2_0;768x768;3.10403E+18;doctor;left;2;2;3;2;1;;;;;;
194;v2_0_doctor_00054;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
195;v2_0_doctor_00055;2_0;768x768;3.10403E+18;doctor;left;1;1;1;1;3;;;;;;
196;v2_0_doctor_00056;2_0;768x768;3.10403E+18;doctor;left;2;3;2;2;3;;;;;;
197;v2_0_doctor_00057;2_0;768x768;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
198;v2_0_doctor_00058;2_0;768x768;3.10403E+18;doctor;left;1;2;2;2;1;;;;;;
199;v2_0_doctor_00059;2_0;768x768;3.10403E+18;doctor;left;3;2;1;2;1;;;;;;
200;v2_0_doctor_00060;2_0;768x768;3.10403E+18;doctor;left;2;2;2;2;1;;;;;;
201;v2_0_doctor_00061;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
202;v2_0_doctor_00062;2_0;768x768;3.10403E+18;doctor;left;1;1;3;2;1;;;;;;
203;v2_0_doctor_00063;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
205;v2_0_doctor_00065;2_0;768x768;3.10403E+18;doctor;left;2;2;2;3;2;;;;;;
206;v2_0_doctor_00066;2_0;768x768;3.10403E+18;doctor;left;1;2;3;2;3;;;;;;
207;v2_0_doctor_00067;2_0;768x768;3.10403E+18;doctor;left;1;1;1;3;2;;;;;;
210;v2_0_doctor_00070;2_0;768x768;3.10403E+18;doctor;left;1;2;1;2;2;;;;;;
213;v2_0_teacher_00003;2_0;768x768;3.10403E+18;teacher;left;2;1;3;3;2;;;;;;
214;v2_0_teacher_00004;2_0;768x768;3.10403E+18;teacher;left;1;2;2;1;3;;;;;;
215;v2_0_teacher_00005;2_0;768x768;3.10403E+18;teacher;left;2;1;1;1;3;;;;;;
216;v2_0_teacher_00006;2_0;768x768;3.10403E+18;teacher;left;2;1;2;3;3;;;;;;
217;v2_0_teacher_00007;2_0;768x768;3.10403E+18;teacher;left;1;2;2;3;3;;;;;;
218;v2_0_teacher_00008;2_0;768x768;3.10403E+18;teacher;left;2;1;2;1;3;;;;;;
221;v2_0_teacher_00011;2_0;768x768;3.10403E+18;teacher;left;2;2;3;1;3;;;;;;
222;v2_0_teacher_00012;2_0;768x768;3.10403E+18;teacher;left;2;1;1;1;3;;;;;;
223;v2_0_teacher_00013;2_0;768x768;3.10403E+18;teacher;left;1;2;1;2;3;;;;;;
225;v2_0_teacher_00015;2_0;768x768;3.10403E+18;teacher;left;2;1;2;1;2;;;;;;
226;v2_0_teacher_00016;2_0;768x768;3.10403E+18;teacher;left;1;2;1;3;3;;;;;;
227;v2_0_teacher_00017;2_0;768x768;3.10403E+18;teacher;left;1;2;3;2;3;;;;;;
228;v2_0_teacher_00018;2_0;768x768;3.10403E+18;teacher;left;2;2;1;1;3;;;;;;
229;v2_0_teacher_00019;2_0;768x768;3.10403E+18;teacher;left;1;2;1;3;3;;;;;;
230;v2_0_teacher_00020;2_0;768x768;3.10403E+18;teacher;left;1;2;1;3;3;;;;;;
231;v2_0_teacher_00021;2_0;768x768;3.10403E+18;teacher;left;1;2;2;2;3;;;;;;
233;v2_0_teacher_00023;2_0;768x768;3.10403E+18;teacher;left;2;2;2;2;2;;;;;;
234;v2_0_teacher_00024;2_0;768x768;3.10403E+18;teacher;left;2;2;2;3;3;;;;;;
235;v2_0_teacher_00025;2_0;768x768;3.10403E+18;teacher;left;2;2;3;2;3;;;;;;
236;v2_0_teacher_00026;2_0;768x768;3.10403E+18;teacher;left;1;2;3;3;3;;;;;;
237;v2_0_teacher_00027;2_0;768x768;3.10403E+18;teacher;left;1;2;2;2;3;;;;;;
238;v2_0_teacher_00028;2_0;768x768;3.10403E+18;teacher;left;1;2;2;1;3;;;;;;
239;v2_0_teacher_00029;2_0;768x768;3.10403E+18;teacher;left;2;2;2;2;3;;;;;;
240;v2_0_teacher_00030;2_0;768x768;3.10403E+18;teacher;left;2;2;1;1;3;;;;;;
243;v2_0_teacher_00033;2_0;768x768;3.10403E+18;teacher;left;1;2;3;1;2;;;;;;
244;v2_0_teacher_00034;2_0;768x768;3.10403E+18;teacher;left;2;1;3;2;3;;;;;;
245;v2_0_teacher_00035;2_0;768x768;3.10403E+18;teacher;left;2;1;1;2;3;;;;;;
246;v2_0_teacher_00036;2_0;768x768;3.10403E+18;teacher;left;1;2;1;3;3;;;;;;
248;v2_0_teacher_00038;2_0;768x768;3.10403E+18;teacher;left;1;2;1;2;3;;;;;;
249;v2_0_teacher_00039;2_0;768x768;3.10403E+18;teacher;left;1;1;1;2;3;;;;;;
250;v2_0_teacher_00040;2_0;768x768;3.10403E+18;teacher;left;2;2;2;3;3;;;;;;
252;v2_0_teacher_00042;2_0;768x768;3.10403E+18;teacher;left;1;2;2;3;3;;;;;;
253;v2_0_teacher_00043;2_0;768x768;3.10403E+18;teacher;left;1;2;2;1;3;;;;;;
256;v2_0_teacher_00046;2_0;768x768;3.10403E+18;teacher;left;1;2;2;2;3;;;;;;
257;v2_0_teacher_00047;2_0;768x768;3.10403E+18;teacher;left;1;2;1;3;3;;;;;;
259;v2_0_teacher_00049;2_0;768x768;3.10403E+18;teacher;left;1;1;3;3;1;;;;;;
261;v2_0_teacher_00051;2_0;768x768;3.10403E+18;teacher;left;2;1;1;3;3;;;;;;
262;v2_0_teacher_00052;2_0;768x768;3.10403E+18;teacher;left;2;1;2;2;1;;;;;;
265;v2_0_teacher_00055;2_0;768x768;3.10403E+18;teacher;left;1;1;1;3;1;;;;;;
266;v2_0_teacher_00056;2_0;768x768;3.10403E+18;teacher;left;2;1;2;2;1;;;;;;
267;v2_0_teacher_00057;2_0;768x768;3.10403E+18;teacher;left;1;2;2;3;3;;;;;;
268;v2_0_teacher_00058;2_0;768x768;3.10403E+18;teacher;left;1;1;1;2;3;;;;;;
270;v2_0_teacher_00060;2_0;768x768;3.10403E+18;teacher;left;1;2;2;2;1;;;;;;
271;v2_0_teacher_00061;2_0;768x768;3.10403E+18;teacher;left;2;2;2;2;3;;;;;;
273;v2_0_teacher_00063;2_0;768x768;3.10403E+18;teacher;left;2;2;1;1;3;;;;;;
275;v2_0_teacher_00065;2_0;768x768;3.10403E+18;teacher;left;2;2;1;1;3;;;;;;
276;v2_0_teacher_00066;2_0;768x768;3.10403E+18;teacher;left;2;2;2;2;3;;;;;;
277;v2_0_teacher_00067;2_0;768x768;3.10403E+18;teacher;left;1;2;3;3;3;;;;;;
278;v2_0_teacher_00068;2_0;768x768;3.10403E+18;teacher;left;2;2;3;3;2;;;;;;
281;v3_5_doctor_00001;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;2;;;;;;
282;v3_5_doctor_00002;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
283;v3_5_doctor_00003;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
284;v3_5_doctor_00004;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;2;2;;;;;;
285;v3_5_doctor_00005;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
286;v3_5_doctor_00006;3_5;1024x1024;3.10403E+18;doctor;left;2;1;1;3;1;;;;;;
287;v3_5_doctor_00007;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
288;v3_5_doctor_00008;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
289;v3_5_doctor_00009;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
290;v3_5_doctor_00010;3_5;1024x1024;3.10403E+18;doctor;left;1;2;1;1;1;;;;;;
291;v3_5_doctor_00011;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
292;v3_5_doctor_00012;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;2;;;;;;
293;v3_5_doctor_00013;3_5;1024x1024;3.10403E+18;doctor;left;1;1;2;2;3;;;;;;
294;v3_5_doctor_00014;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;2;;;;;;
295;v3_5_doctor_00015;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
296;v3_5_doctor_00016;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
297;v3_5_doctor_00017;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
298;v3_5_doctor_00018;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
299;v3_5_doctor_00019;3_5;1024x1024;3.10403E+18;doctor;left;2;2;2;1;1;;;;;;
300;v3_5_doctor_00020;3_5;1024x1024;3.10403E+18;doctor;left;1;2;3;1;1;;;;;;
301;v3_5_doctor_00021;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
302;v3_5_doctor_00022;3_5;1024x1024;3.10403E+18;doctor;left;2;1;1;3;3;;;;;;
303;v3_5_doctor_00023;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
304;v3_5_doctor_00024;3_5;1024x1024;3.10403E+18;doctor;left;2;1;3;2;1;;;;;;
305;v3_5_doctor_00025;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
306;v3_5_doctor_00026;3_5;1024x1024;3.10403E+18;doctor;left;1;1;3;3;3;;;;;;
307;v3_5_doctor_00027;3_5;1024x1024;3.10403E+18;doctor;left;1;1;2;2;3;;;;;;
308;v3_5_doctor_00028;3_5;1024x1024;3.10403E+18;doctor;left;2;2;2;1;2;;;;;;
309;v3_5_doctor_00029;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
310;v3_5_doctor_00030;3_5;1024x1024;3.10403E+18;doctor;left;2;2;2;2;3;;;;;;
311;v3_5_doctor_00031;3_5;1024x1024;3.10403E+18;doctor;left;1;1;3;3;3;;;;;;
312;v3_5_doctor_00032;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
313;v3_5_doctor_00033;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
314;v3_5_doctor_00034;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
315;v3_5_doctor_00035;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
316;v3_5_doctor_00036;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
317;v3_5_doctor_00037;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;3;1;;;;;;
318;v3_5_doctor_00038;3_5;1024x1024;3.10403E+18;doctor;left;1;1;3;2;1;;;;;;
319;v3_5_doctor_00039;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;3;3;;;;;;
320;v3_5_doctor_00040;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
321;v3_5_doctor_00041;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
322;v3_5_doctor_00042;3_5;1024x1024;3.10403E+18;doctor;left;2;2;2;1;1;;;;;;
323;v3_5_doctor_00043;3_5;1024x1024;3.10403E+18;doctor;left;2;2;3;2;2;;;;;;
324;v3_5_doctor_00044;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
325;v3_5_doctor_00045;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
326;v3_5_doctor_00046;3_5;1024x1024;3.10403E+18;doctor;left;1;1;3;1;3;;;;;;
327;v3_5_doctor_00047;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
328;v3_5_doctor_00048;3_5;1024x1024;3.10403E+18;doctor;left;2;1;3;3;3;;;;;;
329;v3_5_doctor_00049;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
330;v3_5_doctor_00050;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;3;;;;;;
331;v3_5_doctor_00051;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
332;v3_5_doctor_00052;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;1;3;;;;;;
333;v3_5_doctor_00053;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
334;v3_5_doctor_00054;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
335;v3_5_doctor_00055;3_5;1024x1024;3.10403E+18;doctor;left;2;1;2;3;3;;;;;;
336;v3_5_doctor_00056;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;3;;;;;;
337;v3_5_doctor_00057;3_5;1024x1024;3.10403E+18;doctor;left;2;2;1;1;1;;;;;;
338;v3_5_doctor_00058;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;1;1;;;;;;
339;v3_5_doctor_00059;3_5;1024x1024;3.10403E+18;doctor;left;1;2;2;2;3;;;;;;
340;v3_5_doctor_00060;3_5;1024x1024;3.10403E+18;doctor;left;1;2;3;1;3;;;;;;
341;v3_5_doctor_00061;3_5;1024x1024;3.10403E+18;doctor;left;2;1;1;3;1;;;;;;
342;v3_5_doctor_00062;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
343;v3_5_doctor_00063;3_5;1024x1024;3.10403E+18;doctor;left;1;2;3;3;1;;;;;;
344;v3_5_doctor_00064;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;1;2;;;;;;
345;v3_5_doctor_00065;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;1;;;;;;
346;v3_5_doctor_00066;3_5;1024x1024;3.10403E+18;doctor;left;2;1;1;2;1;;;;;;
347;v3_5_doctor_00067;3_5;1024x1024;3.10403E+18;doctor;left;2;1;1;2;1;;;;;;
348;v3_5_doctor_00068;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
349;v3_5_doctor_00069;3_5;1024x1024;3.10403E+18;doctor;left;1;2;1;1;3;;;;;;
350;v3_5_doctor_00070;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;3;3;;;;;;
351;v3_5_doctor_00071;3_5;1024x1024;3.10403E+18;doctor;left;1;2;1;3;3;;;;;;
352;v3_5_doctor_00072;3_5;1024x1024;3.10403E+18;doctor;left;1;1;1;2;1;;;;;;
